NUmber of circulation,Number of ports,Number of containers,Limit height,Allowed rehandle,The Seqnumber of circulation,Instance,NumofCir,Numofport,Numofsta,Number of used rehandle
50,5,1000,4,0,1,0,1,1,51,0
50,5,1000,4,0,1,0,1,2,83,0
50,5,1000,4,0,1,0,1,3,109,0
50,5,1000,4,0,1,0,1,4,125,0
50,5,1000,4,0,1,0,1,5,130,0
50,5,1000,4,0,2,0,2,1,129,0
50,5,1000,4,0,2,0,2,2,124,0
50,5,1000,4,0,2,0,2,3,122,0
50,5,1000,4,0,2,0,2,4,125,0
50,5,1000,4,0,2,0,2,5,130,0
50,5,1000,4,0,3,0,3,1,129,0
50,5,1000,4,0,3,0,3,2,124,0
50,5,1000,4,0,3,0,3,3,122,0
50,5,1000,4,0,3,0,3,4,125,0
50,5,1000,4,0,3,0,3,5,130,0
50,5,1000,4,0,4,0,4,1,129,0
50,5,1000,4,0,4,0,4,2,124,0
50,5,1000,4,0,4,0,4,3,122,0
50,5,1000,4,0,4,0,4,4,125,0
50,5,1000,4,0,4,0,4,5,130,0
50,5,1000,4,0,5,0,5,1,129,0
50,5,1000,4,0,5,0,5,2,124,0
50,5,1000,4,0,5,0,5,3,122,0
50,5,1000,4,0,5,0,5,4,125,0
50,5,1000,4,0,5,0,5,5,130,0
50,5,1000,4,0,6,0,6,1,129,0
50,5,1000,4,0,6,0,6,2,124,0
50,5,1000,4,0,6,0,6,3,122,0
50,5,1000,4,0,6,0,6,4,125,0
50,5,1000,4,0,6,0,6,5,130,0
50,5,1000,4,0,7,0,7,1,129,0
50,5,1000,4,0,7,0,7,2,124,0
50,5,1000,4,0,7,0,7,3,122,0
50,5,1000,4,0,7,0,7,4,125,0
50,5,1000,4,0,7,0,7,5,130,0
50,5,1000,4,0,8,0,8,1,129,0
50,5,1000,4,0,8,0,8,2,124,0
50,5,1000,4,0,8,0,8,3,122,0
50,5,1000,4,0,8,0,8,4,125,0
50,5,1000,4,0,8,0,8,5,130,0
50,5,1000,4,0,9,0,9,1,129,0
50,5,1000,4,0,9,0,9,2,124,0
50,5,1000,4,0,9,0,9,3,122,0
50,5,1000,4,0,9,0,9,4,125,0
50,5,1000,4,0,9,0,9,5,130,0
50,5,1000,4,0,10,0,10,1,129,0
50,5,1000,4,0,10,0,10,2,124,0
50,5,1000,4,0,10,0,10,3,122,0
50,5,1000,4,0,10,0,10,4,125,0
50,5,1000,4,0,10,0,10,5,130,0
50,5,1000,4,0,11,0,11,1,129,0
50,5,1000,4,0,11,0,11,2,124,0
50,5,1000,4,0,11,0,11,3,122,0
50,5,1000,4,0,11,0,11,4,125,0
50,5,1000,4,0,11,0,11,5,130,0
50,5,1000,4,0,12,0,12,1,129,0
50,5,1000,4,0,12,0,12,2,124,0
50,5,1000,4,0,12,0,12,3,122,0
50,5,1000,4,0,12,0,12,4,125,0
50,5,1000,4,0,12,0,12,5,130,0
50,5,1000,4,0,13,0,13,1,129,0
50,5,1000,4,0,13,0,13,2,124,0
50,5,1000,4,0,13,0,13,3,122,0
50,5,1000,4,0,13,0,13,4,125,0
50,5,1000,4,0,13,0,13,5,130,0
50,5,1000,4,0,14,0,14,1,129,0
50,5,1000,4,0,14,0,14,2,124,0
50,5,1000,4,0,14,0,14,3,122,0
50,5,1000,4,0,14,0,14,4,125,0
50,5,1000,4,0,14,0,14,5,130,0
50,5,1000,4,0,15,0,15,1,129,0
50,5,1000,4,0,15,0,15,2,124,0
50,5,1000,4,0,15,0,15,3,122,0
50,5,1000,4,0,15,0,15,4,125,0
50,5,1000,4,0,15,0,15,5,130,0
50,5,1000,4,0,16,0,16,1,129,0
50,5,1000,4,0,16,0,16,2,124,0
50,5,1000,4,0,16,0,16,3,122,0
50,5,1000,4,0,16,0,16,4,125,0
50,5,1000,4,0,16,0,16,5,130,0
50,5,1000,4,0,17,0,17,1,129,0
50,5,1000,4,0,17,0,17,2,124,0
50,5,1000,4,0,17,0,17,3,122,0
50,5,1000,4,0,17,0,17,4,125,0
50,5,1000,4,0,17,0,17,5,130,0
50,5,1000,4,0,18,0,18,1,129,0
50,5,1000,4,0,18,0,18,2,124,0
50,5,1000,4,0,18,0,18,3,122,0
50,5,1000,4,0,18,0,18,4,125,0
50,5,1000,4,0,18,0,18,5,130,0
50,5,1000,4,0,19,0,19,1,129,0
50,5,1000,4,0,19,0,19,2,124,0
50,5,1000,4,0,19,0,19,3,122,0
50,5,1000,4,0,19,0,19,4,125,0
50,5,1000,4,0,19,0,19,5,130,0
50,5,1000,4,0,20,0,20,1,129,0
50,5,1000,4,0,20,0,20,2,124,0
50,5,1000,4,0,20,0,20,3,122,0
50,5,1000,4,0,20,0,20,4,125,0
50,5,1000,4,0,20,0,20,5,130,0
50,5,1000,4,0,21,0,21,1,129,0
50,5,1000,4,0,21,0,21,2,124,0
50,5,1000,4,0,21,0,21,3,122,0
50,5,1000,4,0,21,0,21,4,125,0
50,5,1000,4,0,21,0,21,5,130,0
50,5,1000,4,0,22,0,22,1,129,0
50,5,1000,4,0,22,0,22,2,124,0
50,5,1000,4,0,22,0,22,3,122,0
50,5,1000,4,0,22,0,22,4,125,0
50,5,1000,4,0,22,0,22,5,130,0
50,5,1000,4,0,23,0,23,1,129,0
50,5,1000,4,0,23,0,23,2,124,0
50,5,1000,4,0,23,0,23,3,122,0
50,5,1000,4,0,23,0,23,4,125,0
50,5,1000,4,0,23,0,23,5,130,0
50,5,1000,4,0,24,0,24,1,129,0
50,5,1000,4,0,24,0,24,2,124,0
50,5,1000,4,0,24,0,24,3,122,0
50,5,1000,4,0,24,0,24,4,125,0
50,5,1000,4,0,24,0,24,5,130,0
50,5,1000,4,0,25,0,25,1,129,0
50,5,1000,4,0,25,0,25,2,124,0
50,5,1000,4,0,25,0,25,3,122,0
50,5,1000,4,0,25,0,25,4,125,0
50,5,1000,4,0,25,0,25,5,130,0
50,5,1000,4,0,26,0,26,1,129,0
50,5,1000,4,0,26,0,26,2,124,0
50,5,1000,4,0,26,0,26,3,122,0
50,5,1000,4,0,26,0,26,4,125,0
50,5,1000,4,0,26,0,26,5,130,0
50,5,1000,4,0,27,0,27,1,129,0
50,5,1000,4,0,27,0,27,2,124,0
50,5,1000,4,0,27,0,27,3,122,0
50,5,1000,4,0,27,0,27,4,125,0
50,5,1000,4,0,27,0,27,5,130,0
