Number of ports,Number of containers,Limit height,Allowed rehandle,The Seqnumber of circulation,Instance,NumofCir,Numofport,Numofsta,Number of used rehandle
5,2000,12,0,1,0,1,1,33,0
5,2000,12,0,1,0,1,2,57,0
5,2000,12,0,1,0,1,3,73,0
5,2000,12,0,1,0,1,4,85,0
5,2000,12,0,1,0,1,5,86,0
5,2000,12,0,2,0,2,1,85,0
5,2000,12,0,2,0,2,2,85,0
5,2000,12,0,2,0,2,3,82,0
5,2000,12,0,2,0,2,4,85,0
5,2000,12,0,2,0,2,5,86,0
5,2000,12,0,3,0,3,1,85,0
5,2000,12,0,3,0,3,2,85,0
5,2000,12,0,3,0,3,3,82,0
5,2000,12,0,3,0,3,4,85,0
5,2000,12,0,3,0,3,5,86,0
5,2000,12,0,4,0,4,1,85,0
5,2000,12,0,4,0,4,2,85,0
5,2000,12,0,4,0,4,3,82,0
5,2000,12,0,4,0,4,4,85,0
5,2000,12,0,4,0,4,5,86,0
5,2000,12,0,5,0,5,1,85,0
5,2000,12,0,5,0,5,2,85,0
5,2000,12,0,5,0,5,3,82,0
5,2000,12,0,5,0,5,4,85,0
5,2000,12,0,5,0,5,5,86,0
5,2000,12,0,6,0,6,1,85,0
5,2000,12,0,6,0,6,2,85,0
5,2000,12,0,6,0,6,3,82,0
5,2000,12,0,6,0,6,4,85,0
5,2000,12,0,6,0,6,5,86,0
5,2000,12,0,7,0,7,1,85,0
5,2000,12,0,7,0,7,2,85,0
5,2000,12,0,7,0,7,3,82,0
5,2000,12,0,7,0,7,4,85,0
5,2000,12,0,7,0,7,5,86,0
5,2000,12,0,8,0,8,1,85,0
5,2000,12,0,8,0,8,2,85,0
5,2000,12,0,8,0,8,3,82,0
5,2000,12,0,8,0,8,4,85,0
5,2000,12,0,8,0,8,5,86,0
5,2000,12,0,9,0,9,1,85,0
5,2000,12,0,9,0,9,2,85,0
5,2000,12,0,9,0,9,3,82,0
5,2000,12,0,9,0,9,4,85,0
5,2000,12,0,9,0,9,5,86,0
5,2000,12,0,10,0,10,1,85,0
5,2000,12,0,10,0,10,2,85,0
5,2000,12,0,10,0,10,3,82,0
5,2000,12,0,10,0,10,4,85,0
5,2000,12,0,10,0,10,5,86,0
5,2000,12,0,11,0,11,1,85,0
5,2000,12,0,11,0,11,2,85,0
5,2000,12,0,11,0,11,3,82,0
5,2000,12,0,11,0,11,4,85,0
5,2000,12,0,11,0,11,5,86,0
5,2000,12,0,12,0,12,1,85,0
5,2000,12,0,12,0,12,2,85,0
5,2000,12,0,12,0,12,3,82,0
5,2000,12,0,12,0,12,4,85,0
5,2000,12,0,12,0,12,5,86,0
5,2000,12,0,13,0,13,1,85,0
5,2000,12,0,13,0,13,2,85,0
5,2000,12,0,13,0,13,3,82,0
5,2000,12,0,13,0,13,4,85,0
5,2000,12,0,13,0,13,5,86,0
5,2000,12,0,14,0,14,1,85,0
5,2000,12,0,14,0,14,2,85,0
5,2000,12,0,14,0,14,3,82,0
5,2000,12,0,14,0,14,4,85,0
5,2000,12,0,14,0,14,5,86,0
5,2000,12,0,15,0,15,1,85,0
5,2000,12,0,15,0,15,2,85,0
