Number of ports,Number of containers,Limit height,Allowed rehandle,The Seqnumber of circulation,Instance,NumofCir,Numofport,Numofsta,Number of used rehandle
5,1000,8,0,1,0,1,1,26,0
5,1000,8,0,1,0,1,2,42,0
5,1000,8,0,1,0,1,3,55,0
5,1000,8,0,1,0,1,4,63,0
5,1000,8,0,1,0,1,5,65,0
5,1000,8,0,2,0,2,1,65,0
5,1000,8,0,2,0,2,2,62,0
5,1000,8,0,2,0,2,3,61,0
5,1000,8,0,2,0,2,4,63,0
5,1000,8,0,2,0,2,5,65,0
5,1000,8,0,3,0,3,1,65,0
5,1000,8,0,3,0,3,2,62,0
5,1000,8,0,3,0,3,3,61,0
5,1000,8,0,3,0,3,4,63,0
5,1000,8,0,3,0,3,5,65,0
5,1000,8,0,4,0,4,1,65,0
5,1000,8,0,4,0,4,2,62,0
5,1000,8,0,4,0,4,3,61,0
5,1000,8,0,4,0,4,4,63,0
5,1000,8,0,4,0,4,5,65,0
5,1000,8,0,5,0,5,1,65,0
5,1000,8,0,5,0,5,2,62,0
5,1000,8,0,5,0,5,3,61,0
5,1000,8,0,5,0,5,4,63,0
5,1000,8,0,5,0,5,5,65,0
5,1000,8,0,6,0,6,1,65,0
5,1000,8,0,6,0,6,2,62,0
5,1000,8,0,6,0,6,3,61,0
5,1000,8,0,6,0,6,4,63,0
5,1000,8,0,6,0,6,5,65,0
5,1000,8,0,7,0,7,1,65,0
5,1000,8,0,7,0,7,2,62,0
5,1000,8,0,7,0,7,3,61,0
5,1000,8,0,7,0,7,4,63,0
5,1000,8,0,7,0,7,5,65,0
5,1000,8,0,8,0,8,1,65,0
5,1000,8,0,8,0,8,2,62,0
5,1000,8,0,8,0,8,3,61,0
5,1000,8,0,8,0,8,4,63,0
5,1000,8,0,8,0,8,5,65,0
5,1000,8,0,9,0,9,1,65,0
5,1000,8,0,9,0,9,2,62,0
5,1000,8,0,9,0,9,3,61,0
5,1000,8,0,9,0,9,4,63,0
5,1000,8,0,9,0,9,5,65,0
5,1000,8,0,10,0,10,1,65,0
5,1000,8,0,10,0,10,2,62,0
5,1000,8,0,10,0,10,3,61,0
5,1000,8,0,10,0,10,4,63,0
5,1000,8,0,10,0,10,5,65,0
5,1000,8,0,11,0,11,1,65,0
5,1000,8,0,11,0,11,2,62,0
5,1000,8,0,11,0,11,3,61,0
5,1000,8,0,11,0,11,4,63,0
5,1000,8,0,11,0,11,5,65,0
5,1000,8,0,12,0,12,1,65,0
5,1000,8,0,12,0,12,2,62,0
5,1000,8,0,12,0,12,3,61,0
5,1000,8,0,12,0,12,4,63,0
5,1000,8,0,12,0,12,5,65,0
5,1000,8,0,13,0,13,1,65,0
5,1000,8,0,13,0,13,2,62,0
5,1000,8,0,13,0,13,3,61,0
5,1000,8,0,13,0,13,4,63,0
5,1000,8,0,13,0,13,5,65,0
5,1000,8,0,14,0,14,1,65,0
5,1000,8,0,14,0,14,2,62,0
5,1000,8,0,14,0,14,3,61,0
5,1000,8,0,14,0,14,4,63,0
5,1000,8,0,14,0,14,5,65,0
5,1000,8,0,15,0,15,1,65,0
5,1000,8,0,15,0,15,2,62,0
5,1000,8,0,15,0,15,3,61,0
5,1000,8,0,15,0,15,4,63,0
5,1000,8,0,15,0,15,5,65,0
5,1000,8,0,16,0,16,1,65,0
5,1000,8,0,16,0,16,2,62,0
5,1000,8,0,16,0,16,3,61,0
5,1000,8,0,16,0,16,4,63,0
5,1000,8,0,16,0,16,5,65,0
5,1000,8,0,17,0,17,1,65,0
5,1000,8,0,17,0,17,2,62,0
5,1000,8,0,17,0,17,3,61,0
5,1000,8,0,17,0,17,4,63,0
5,1000,8,0,17,0,17,5,65,0
5,1000,8,0,18,0,18,1,65,0
