Number of ports,Number of containers,Limit height,Allowed rehandle,The Seqnumber of circulation,Instance,NumofCir,Numofport,Numofsta,Number of used rehandle
5,100,4,0,1,0,1,1,5,0
5,100,4,0,1,0,1,2,7,0
5,100,4,0,1,0,1,3,11,0
5,100,4,0,1,0,1,4,13,0
5,100,4,0,1,0,1,5,15,0
5,100,4,0,2,0,2,1,15,0
5,100,4,0,2,0,2,2,14,0
5,100,4,0,2,0,2,3,13,0
5,100,4,0,2,0,2,4,13,0
5,100,4,0,2,0,2,5,15,0
5,100,4,0,3,0,3,1,15,0
5,100,4,0,3,0,3,2,14,0
5,100,4,0,3,0,3,3,13,0
5,100,4,0,3,0,3,4,13,0
5,100,4,0,3,0,3,5,15,0
5,100,4,0,4,0,4,1,15,0
5,100,4,0,4,0,4,2,14,0
5,100,4,0,4,0,4,3,13,0
5,100,4,0,4,0,4,4,13,0
5,100,4,0,4,0,4,5,15,0
5,100,4,0,5,0,5,1,15,0
5,100,4,0,5,0,5,2,14,0
5,100,4,0,5,0,5,3,13,0
5,100,4,0,5,0,5,4,13,0
5,100,4,0,5,0,5,5,15,0
5,100,4,0,6,0,6,1,15,0
5,100,4,0,6,0,6,2,14,0
5,100,4,0,6,0,6,3,13,0
5,100,4,0,6,0,6,4,13,0
5,100,4,0,6,0,6,5,15,0
5,100,4,0,7,0,7,1,15,0
5,100,4,0,7,0,7,2,14,0
5,100,4,0,7,0,7,3,13,0
5,100,4,0,7,0,7,4,13,0
5,100,4,0,7,0,7,5,15,0
5,100,4,0,8,0,8,1,15,0
5,100,4,0,8,0,8,2,14,0
5,100,4,0,8,0,8,3,13,0
5,100,4,0,8,0,8,4,13,0
5,100,4,0,8,0,8,5,15,0
5,100,4,0,9,0,9,1,15,0
5,100,4,0,9,0,9,2,14,0
5,100,4,0,9,0,9,3,13,0
5,100,4,0,9,0,9,4,13,0
5,100,4,0,9,0,9,5,15,0
5,100,4,0,10,0,10,1,15,0
5,100,4,0,10,0,10,2,14,0
5,100,4,0,10,0,10,3,13,0
5,100,4,0,10,0,10,4,13,0
5,100,4,0,10,0,10,5,15,0
5,100,4,0,11,0,11,1,15,0
5,100,4,0,11,0,11,2,14,0
5,100,4,0,11,0,11,3,13,0
5,100,4,0,11,0,11,4,13,0
5,100,4,0,11,0,11,5,15,0
5,100,4,0,12,0,12,1,15,0
5,100,4,0,12,0,12,2,14,0
5,100,4,0,12,0,12,3,13,0
5,100,4,0,12,0,12,4,13,0
5,100,4,0,12,0,12,5,15,0
